Week,Julian_Day,Date,Time,Habitat.type,Group #,Drift fence,Trap #,Board #,Humid (r.h.),sun *,Temp (deg C),Spiders,Scorpions,beetles,Ants,millipedes,Crickets,Roaches,Isopods,centipedes,snails,Worms,harvestmen,Earwigs,Other Captures,Bucket Flooded? Note Depth,Comments,Class
1,22045,2/14/2022,12:00,Field,1,1,1,,30,3,19.4,,,2,,,,,,,,,,,,,,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,1,1,1,,99,1,12.8,1,,,,,,,,,,,,,,,,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,2,1,2,,30,1,19.44,,,,,,,,,,,,,,"mite/flea, ants",,,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,2,1,2,,99.1,1,12.8,,,,12,,,,,1,,,,,approx 12 ants,,raining,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,4,1,3,,30,3,19.44,,,2,,,,,,,,,,,A few Ants,,,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,2,1,3,,99.1,1,12.8,,,,,,,,,1,,,,,,,raining,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,2,1,4,,30,1,19.44,,,,,,,,,,,,,,"ants, 1 dead mouse",,field,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,4,1,4,,100,1,12.67,,,,,,,,,,,,,,Springtails,,flooded,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,,1,,30,30,3,19,1 (wolf spider),,1,,0,,,,0,0,,0,,Ants,,,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,,1,,29,30,3,19,0,,0,,0,,,,0,1,,0,,"Ants, small lizard",,,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,,1,,28,30,3,19,0,,0,,0,,,,0,0,,0,,"Brown Skink, Ants",,,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,,1,,27,30,3,19,0,,0,,0,,,,0,0,,0,,"Ants, Skink",,,"Ecology,(Mon section)"
1,22045,2/14/2022,12:00,Field,,1,,25,30,3,19,0,,0,,0,,,,0,0,,0,,,,,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,,1,,30,99.9,1,12.78,0,,0,,0,,,1,0,0,,0,,"1 Slug, 1 Rolly Polly",,98.4,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,,1,,29,99.9,1,12.78,0,,0,,0,,,,0,1,,0,,Ants,,98.3,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,,1,,28,99.9,1,12.78,0,,0,,0,,,,0,0,,0,,Ants,,99.9,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,,1,,27,99.9,1,12.78,0,,0,,0,,,,0,0,,0,,,,,"Ecology,(Mon section)"
2,22052,2/21/2022,12:00,Field,,1,,25,99.9,1,12.78,0,,0,,0,,,,0,0,,0,,Ringneck Snake,,"100, Ringneck Snake ~5 Inches long","Ecology,(Mon section)"
1,22046,2/15/2022,12:00,Field,1,1,1,,33.7,3,73.6,2,,,5,,,,,,,,,,"~5 ants, 1 dead slug, ~10 inverts, 1 catepillar",,"0 sticks, 12 leaves",Ecology (Tues section)
1,22046,2/15/2022,12:00,Field,2,1,2,,33.7,3,73.6,0,,0,,0,,,,0,0,,0,,,,1 dead,Ecology (Tues section)
1,22046,2/15,12:00,Field,3,1,3,,33.7,3,73.6,,,1,2,,,,,,1,,,,2 ants,,,Ecology (Tues section)
1,22046,2/15/2022,12:00,Field,4,1,4,,33.7,3,73.6,1,,,5,,,,,,,,,,5 ants,,,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,1,1,1,,67,2,78.2,4,,,10,,,,,,,1,,,"1 worm, 10 ants, 1 invert",,3 leaves,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,2,1,2,,67,2,78.2,0,,0,,0,,,,0,2,,0,,,,,Ecology (Tues section)
2,#VALUE!,2.22.22,12:00,Field,3,1,3,,67,2,78.2,0,,0,,1,,,,0,0,,0,,,,,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,4,1,4,,67,2,78.2,0,,0,,0,,,,1,0,,0,,,,,Ecology (Tues section)
1,22046,2/15/2022,12:00,Field,,1,,30,66.7,3,73.6,,,,10,,,,,,,,,,10 ants,,,Ecology (Tues section)
1,22046,2/15/2022,12:00,Field,1,1,,29,58.4,3,73.6,,,,,,,,,,2,,,,,,,Ecology (Tues section)
1,22046,2/15/2022,12:00,Field,,1,,28,,,,,,,,,,,,,,,,,,,,Ecology (Tues section)
1,22046,2/15/2022,12:00,Field,,1,,27,,,,,,,,,,,,,,,,,,,,Ecology (Tues section)
1,22046,2/15/2022,12:00,Field,4,1,,25,62.9,3,,,,,3,,,,,,,,,,3 ant,,,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,2,1,,30,78.6,,78.2,0,,0,5,0,,,,0,2,,0,,5 ants,,,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,4,1,,29,78.8,,,,,,,,,,,,,,,,,,,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,1,1,,28,80.2,2,78.2,,,,,,,,,,,,,,ants,,,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,,1,,27,,,,,,,,,,,,,,,,,,,,Ecology (Tues section)
2,22053,2/22/22,12:00,Field,3,1,,25,80.5,,78.2,1,,0,,0,,,,0,1,,0,,slug,,no leaf litter,Ecology (Tues section)
1,22047,2/16/22,12:00,Field,1,1,1,,40,3,83,0,,0,5,3,,,,0,0,,0,,5 ants,,grass,Ecology (Wed noon section)
1,22047,2/16/22,12:00,Field,2,1,2,,40%,2,83,0,,0,,0,,,,0,0,,0,,ants,,,Ecology (Wed noon section)
1,22047,2/16/22,12:00,Field,3,1,3,,40%,1,83,,,2,,,,,,1,,,,,,,3,Ecology (Wed noon section)
1,22047,2/16/22,12:00,Field,4,1,4,,,2,83,0,,0,3,0,,,,0,0,,0,,3 ants,,,Ecology (Wed noon section)
2,22054,2/23/22,12:00,Field,1,1,1,,61,3,28,0,,1,,0,,,,0,0,,0,,ants,,grass,Ecology (Wed noon section)
2,22054,2/23/22,12:00,Field,,1,2,,,,,2,,,,1,,,,,,,,,,,,Ecology (Wed noon section)
2,22054,2/23/22,12:00,Field,3,1,3,,61,2,82,1,,,,,,,,,,,,,,,1,Ecology (Wed noon section)
2,22054,2/23/22,12:00,Field,3,1,4,,61,2,82,1,,0,,0,,,,0,0,,0,,,,1,Ecology (Wed noon section)
1,22047,2/16/2022,12:00,Field,2,1,,29,40,2,83,0,,0,,0,,,,0,0,,0,,1 skink,,,Ecology (Wed noon section)
1,22047,2/16/2022,12:00,Field,,1,,28,,,,,,,,,,,,,,,,,,,,Ecology (Wed noon section)
1,22047,2/16/2022,12:00,Field,1,1,,27,47.9,,,0,,0,,0,,,,0,1,,0,,3 gnats,,,Ecology (Wed noon section)
1,22047,2/16/2022,12:00,Field,,1,,25,,,,,,,,,,,,,,,,,,,,Ecology (Wed noon section)
1,22047,2/16/2022,12:00,Field,,1,,39,,,,,,,,,,,,,,,,,,,,Ecology (Wed noon section)
2,22054,2/23/2022,12:00,Field,1,1,,29,61,3,28,0,,0,,0,,,,0,2,,0,,"slugs, ants",,,Ecology (Wed noon section)
2,22054,2/23/2022,12:00,Field,,1,,28,,,,,,,,,,,,,,,,,,,,Ecology (Wed noon section)
2,22054,2/23/2022,12:00,Field,,1,,27,,,,,,,,,,,,,,,,,,,,Ecology (Wed noon section)
2,22054,2/23/2022,12:00,Field,,1,,25,40,,83,,,,,,,,,,,,,,ants,,,Ecology (Wed noon section)
2,22054,2/23/2022,12:00,Field,,1,,39,,,,,,,,,,,,,,,,,,,,Ecology (Wed noon section)
1,22047,2/16/2022,15:00,Field,Samantha,1,1,,50.6,2,19.8,,,,,1,,,,,,,,1,1 ear wig,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,Jack,1,2,,44.4,2,71.7,,,,,,,,,,,,,,,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,Parker,1,3,,50.6,c,19.7,2,,0,,0,,2,,1,0,,0,,2 roaches,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,Laurens,1,4,,50.6,2,19.8,0,,0,2,0,,,,0,0,,0,,2 ants,,,Ecology (Wed 3pm section)
2,22034,2/3/22,15:00,Field,parker,1,1,,61,2,27.3,0,,1,,1,,,,0,0,,0,,,,,Ecology (Wed 3pm section)
2,22054,2/23/2022,15:00,Field,Stefan,1,2,,,2,27.3,0,,0,,0,,,,0,0,,0,,,,,Ecology (Wed 3pm section)
2,22054,02/23/2022,15:00,Field,Lauren,1,3,,61,2,27.3,1,,0,,0,,,,0,0,,0,,,,,Ecology (Wed 3pm section)
2,22054,2/23/2022,15:00,Field,Samantha,1,4,,,2,27.7,2,,1,,15,,,,0,0,,0,,,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,,1,,30,,,,,,,,,,,,,,,,,,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,Samantha,1,,29,80.2,2,19.8,0,,0,5,0,,,,0,2,,0,,5 ants,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,Laurens,1,,28,62.8,2,19.8,0,,1,,0,,,,0,0,,0,,1 tick,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,,1,,27,67.5,,,,,,,,,,,,,,,,,,,Ecology (Wed 3pm section)
1,22047,2/16/2022,15:00,Field,,1,,25,64,c,18.6,0,,0,,0,,,,0,0,,0,,,,,Ecology (Wed 3pm section)
2,22054,2/23/2022,15:00,Field,Samantha,1,,30,61,2,27.7,0,,0,3,0,,,,0,0,,0,,"slug (1), ant (3)",,,Ecology (Wed 3pm section)
2,22054,2/23/2022,15:00,Field,,1,,29,,,,,,,,,,,,,,,,,,,,Ecology (Wed 3pm section)
2,22054,2/23/2022,15:00,Field,,1,,28,,,,,,,,,,,,,,,,,,,,Ecology (Wed 3pm section)
2,22054,2/23/2022,15:00,Field,,1,,27,40,,,,,,,,,,,,,,,,,,,Ecology (Wed 3pm section)
2,22054,2/23/2022,15:00,Field,,1,,25,,,,,,,,,,,,,,,,,,,,Ecology (Wed 3pm section)
1,22048,2/17/2022,12:00,Field,3,1,1,,89.6,2,23.3,,,,,,,,,,,,,,,,,Ecology (Thurs section)
1,22048,2/17/2022,12:00,Field,2,1,2,,89.6,2,23.3,0,,1,,2,,,,0,0,,0,,rove beetle,,,Ecology (Thurs section)
1,22048,2/17/2022,12:00,Field,1,1,3,,89.6,2,23.3,0,,2,,0,,,,0,0,,0,,,,,Ecology (Thurs section)
1,22048,2/17/2022,12:00,Field,2,1,4,,89.6,1,23.34,1,,0,,0,,,,0,0,,0,,,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,3,1,1,,59.2,2,27.2,2,,0,50,3,,,,0,0,,0,,50 ants,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,1,1,2,,59.2,2,27.2,0,,1,,0,,,,0,0,,0,,1 slug,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,2,1,3,,59.2,2,27.2c,0,,0,,0,,,,0,0,,0,,5 termites,,,Ecology (Thurs section)
2,22055,2/24/2022,12:00,Field,3,1,4,,59.2,2,27.2,,,1,10,,,,,,,,,,10 Ants,,,Ecology (Thurs section)
