EntryOrder,Date,Julian day,Day,Month,Year,Season,Time,AM or PM,Genus,Species,Class,Order,Group,Drift fence,PitTrap #,Board #,Habitat type,Location/habitat description,Sex,Body Length (mm),Tail Length (mm),Mass (g),Age,Air temp,Humidity,Clouds,Comments,Participants,Class
1,1/25/21,21025,25,January,2021,Winter,915,AM,,,,,,,,,,,,,,,,19.8,88.3,,nothing found on this day,,Herpetology
2,1/28/21,21028,28,January,2021,Winter,1115,AM,,,,,,,,,,,,,,,,7.5,56.6,,nothing found on this day,,Herpetology
3,2/1/21,21032,1,February,2021,Winter,900,AM,,,,,,,,,,,,,,,,4.1,99,,nothing found on this day,,Herpetology
4,2/4/21,21035,4,February,2021,Winter,1115,AM,,,,,,,,,,,,,,,,10.2,44.6,,nothing found on this day,,Herpetology
5,2/11/21,21042,11,February,2021,Winter,1110,AM,,,,,,,,,,,,,,,,18.2,85,,nothing found on this day,,Herpetology
6,2/15/21,21046,15,February,2021,Winter,905,AM,,,,,,,,,,,,,,,,12.7,64.6,,,,Herpetology
8,2/20/21,21051,20,February,2021,Winter,910,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,49,Edge,board,,45,35,1.3,,12.8,84.8,,,,Herpetology
9,2/25/21,21056,25,February,2021,Winter,1121,AM,,,,,,,,,,,,,,,,21.7,50.8,,nothing found on this day,,Herpetology
10,2/26/21,21057,26,February,2021,Winter,1400,PM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Under construction board by the pond,Male,50,95,3,,23.1,74,,,,Herpetology
11,2/26/21,21057,26,February,2021,Winter,,,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,under log by board 7,Female,63,,12.5,,23.1,74,,,,Herpetology
12,3/1/21,21060,1,March,2021,Spring,926,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,,Edge,under log by pond,,27,26,0.55,,16.1,,,,,Herpetology
13,3/1/21,21060,1,March,2021,Spring,931,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,8,Edge,board,,61,57,5.35,,20.7,83,,,,Herpetology
14,3/1/21,21060,1,March,2021,Spring,942,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,20,Stream,board,,61,57,5.35,,20.7,83,,,,Herpetology
15,3/8/21,21067,8,March,2021,Spring,900,AM,,,,,,,,,,,,,,,,17.4,32.2,,nothing found on this day,,Herpetology
18,3/12/21,21071,12,March,2021,Spring,,,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Rock (fire pit by pond),,45,80,,,,,,,,Herpetology
19,3/12/21,21071,12,March,2021,Spring,,,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,,Forest,log (Hi low vista pond way),,30,28,,,,,,,,Herpetology
17,3/12/21,21071,12,March,2021,Spring,,,Scincella,lateralis,Reptile,Squamate,Lizard,,,41,Forest,board,,40,,,,,,,,,Herpetology
16,3/12/21,21071,12,March,2021,Spring,900,AM,,,,,,,,,,weather,,,,,,11.1,83,,,,Herpetology
21,3/15/21,21074,15,March,2021,Spring,,,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Edge,lumber by barn,,42,,1,,,,,cut tail,,Herpetology
22,3/15/21,21074,15,March,2021,Spring,,,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,log next to pond,Male,52,92,4.1,,,,,,,Herpetology
20,3/15/21,21074,15,March,2021,Spring,900,AM,,,,,,,,,,,,,,,,17.8,100,,,,Herpetology
23,3/18/21,21077,18,March,2021,Spring,,,,,,,,,,,,,,,,,,20.6,66,,nothing found on this day,,Herpetology
24,3/22/21,21081,22,March,2021,Spring,900,AM,,,,,,,,,,,,,,,,13.3,59.7,,nothing found on this day,,Herpetology
25,3/25/21,21084,25,March,2021,Spring,1108,AM,,,,,,,,,,,,,,,,22.1,80.7,,Two snakes sighted next to 17 and 45,,Herpetology
27,3/26/21,21085,26,March,2021,Spring,1434,PM,Anaxyrus,fowleri,Amphibian,Anura,Toad,,,,Edge,under rock next to pond,,38,,8,Juvenile,,,,Juvenile,,Herpetology
28,3/26/21,21085,26,March,2021,Spring,1434,PM,Anaxyrus,fowleri,Amphibian,Anura,Toad,,,,Edge,under rock next to pond,Male,55,,30,,,,,,,Herpetology
30,3/26/21,21085,26,March,2021,Spring,1457,PM,Anaxyrus,fowleri,Amphibian,Anura,Toad,,,,Edge,under rock next to pond,Male,50,,14.5,,,,,,,Herpetology
29,3/26/21,21085,26,March,2021,Spring,1443,PM,Diadophis,punctatus,Reptile,Squamate,Snake,,,,Edge,under rock next to pond,,140,3,1,,,,,,,Herpetology
26,3/26/21,21085,26,March,2021,Spring,1400,PM,,,,,,,,,,,,,,,,23.9,74,,,,Herpetology
31,3/29/21,21088,29,March,2021,Spring,908,AM,Lithobates,clamitans,Amphibian,Anura,Frog,,,,Stream,open area on stream bank,Female,67,,20,,16.8,44,,,,Herpetology
32,4/5/21,21095,5,April,2021,Spring,958,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,,Edge,under rotton log next to pond,,36,35,0.97,,16.8,44.9,,,,Herpetology
33,4/9/21,21099,9,April,2021,Spring,900,AM,,,,,,,,,,,,,,,,23.3,76,,nothing found on this day,,Herpetology
35,4/12/21,21102,12,April,2021,Spring,937,AM,Aspidoscelis,sexlineata,Reptile,Squamate,Lizard,,,6,Edge,board,,42,70,2.21,,21.8,53.9,,,,Herpetology
36,4/12/21,21102,12,April,2021,Spring,1001,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,35,Open,board,,40,40,0.86,,23.8,47.3,,,,Herpetology
34,4/12/21,21102,12,April,2021,Spring,900,AM,,,,,,,,,,,,,,,,19.8,65.2,,nothing found on this day,,Herpetology
37,4/15/21,21105,15,April,2021,Spring,1226,PM,Virginia,valeriae,Reptile,Squamate,Snake,,,3,Edge,board,,152,29,,,23.2,36.6,,,,Herpetology
38,4/23/21,21113,23,April,2021,Spring,2:46,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,homested,Female,,,,,20.4,36.6,,,,Herpetology
39,4/23/21,21113,23,April,2021,Spring,2:48,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,homested,Male,,,,,20.4,36.6,,,,Herpetology
40,4/23/21,21113,23,April,2021,Spring,2:52,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,homested,Female,,,,,20.4,36.6,,,,Herpetology
41,4/23/21,21113,23,April,2021,Spring,2:55,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,garden,Male,,,,,20.4,36.6,,,,Herpetology
42,5/19/21,21139,19,May,2021,Spring,,,,,,,,,,,,,,,,,,,,,nothing found on this day,,
43,5/20/21,21140,20,May,2021,Spring,,,,,,,,,,,,spotted broad head skink,,,,,,,,,nothing found on this day,,
45,5/25/21,21145,25,May,2021,Spring,955,AM,Storeria,occipitomaculata,Reptile,Squamate,Snake,,,3,Edge,board,,18,3.5,4.76,,26.2,79.1,,,,
44,5/25,21145,25,May,2021,Spring,,,,,,,,,,,,,,,,,,26.2,80.5,,,,
46,6/3/21,21154,3,June,2021,Summer,1100,AM,,,,,,,,,,,,,,,,29.3,69.4,,nothing found on this day,,
47,6/11/21,21162,11,June,2021,Summer,,,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,barn,Male,60,90,7.26,,24.9,79.9,,,,
50,6/24/21,21175,24,June,2021,Summer,953,AM,Lithobates,sphenocephalus,Amphibian,Anura,Frog,,,,Edge,edge of pond,,24,,1.13,Juvenile,26.9,88,,,,
49,6/24/21,21175,24,June,2021,Summer,,,,,Amphibian,Caudata,Salamander,,,,Stream,"near creek, larvae",,,,,,21.8,80.1,,There were many larvae of an unknown species,,
48,6/24/21,21175,24,June,2021,Summer,925,AM,Pseudemys,,Reptile,Chelonia,Turtle,,,,Stream,near creek,,,,10.35,,21.8,80.1,,,,
52,07/01/21,21182,1,July,2021,Summer,1100,AM,Plestiodon,fasciatus,Reptile,Squamate,Lizard,,,,Edge,barn,,58,44,5.4,,28.3,92,,,,
53,07/01/21,21182,1,July,2021,Summer,1101,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,barn,Male,62,85,9.05,,28.3,92,,,,
54,07/01/21,21182,1,July,2021,Summer,1148,AM,Carphophis,amoenus,Reptile,Squamate,Snake,,,1,Edge,board,,270,40,13.41,,28.3,90,,,,
55,07/01/21,21182,1,July,2021,Summer,1225,PM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,parking lot,Female,62,81,8.23,,27.8,90,,,,
51,07/01/21,21182,1,July,2021,Summer,1030,AM,Plethodon,glutinosus,Amphibian,Caudata,Salamander,,,13,Stream,board,,57,43,2.95,,27.5,89,,,,
56,07/08/21,21189,8,July,2021,Summer,1140,AM,Carphophis,amoenus,Reptile,Squamate,Snake,,,1,Edge,board,,280,52,14,,30.6,64,,,,
57,07/15/21,21196,15,July,2021,Summer,,,,,,,,,,,,,,,,,,,,,nothing found on this day,,
58,07/22/21,21203,22,July,2021,Summer,,,,,,,,,,,,,,,,,,,,,nothing found on this day,,
60,08/05/21,21217,5,August,2021,Summer,1046,AM,Anaxyrus,fowleri,Amphibian,Anura,Toad,,,,Edge,by pond,,21,,0.6,,27.9,65,,juv,,
59,08/05/21,21217,5,August,2021,Summer,1005,AM,Tantilla,coronata,Reptile,Squamate,Snake,,,49,Edge,board,,145,45,1.02,,27.9,67,,,,
61,08/12/21,21224,12,August,2021,Summer,1054,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,sign in open area,Female,27,27,0.78,Juvenile,28.1,82,,,,
62,08/12/21,21224,12,August,2021,Summer,1054,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,sign in open area,Male,34,32,1.09,,28.1,82,,juv,,
63,8/12/21,21224,12,August,2021,Summer,1128,AM,Plestiodon,fasciatus,Reptile,Squamate,Lizard,,,,Edge,barn,,32,12,1.15,,30.7,79.5,,juv,,
64,8/12/21,21224,12,August,2021,Summer,1134,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,barn,Male,27,43,0.52,,30.7,79.5,,juv,"Chris Norris, Dan Warner",
65,08/18/21,21230,18,August,2021,Summer,,,,,,,,,,,,,,,,,,,,,nothing found on this day,"Chris Norris, Dan Warner",
66,08/30/2021,21242,30,August,2021,Summer,,,,,,,,,,,,,,,,,,,,,"nothing found on this day, but not all cover boards were checked","Haile Cobb, Dan Warner",Vert Bio
67,9/13/21,21256,13,September,2021,Autumn,9:30,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,"Ampitheatre, by pond on rock",,,,,Juvenile,27.9,63.2,,"Not captured. No animals under coverboards, but not all coverboards were checked. All pit traps were closed.","Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
68,9/13/21,21256,13,September,2021,Autumn,10:04,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,"Ampitheatre, on rock",Female,27,32,0.4,,27.9,63.2,,"windspeed:1.8 mph, Juvenile","Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
69,9/13/21,21256,13,September,2021,Autumn,10:10,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,"Open, short grass",Female,24,33,0.5,Juvenile,,,,Juvenile,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
70,9/13/21,21256,13,September,2021,Autumn,10:10,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Fire pit by amphitheatre,Male,23,33,0.6,Juvenile,,,,,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
71,9/13/21,21256,13,September,2021,Autumn,10:13,AM,Sceloporus,undulatus,Reptile,Squamate,Lizard,,,,Edge,Fire pit by amphitheatre,,,,,Juvenile,,,,Not captured,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
72,9/13/21,21256,13,September,2021,Autumn,10:19,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,"Open ground leaves, by north parking lot",Female,37,74,1.2,,,,,,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
73,9/13/21,21256,13,September,2021,Autumn,10:25,AM,Scincella,lateralis,Reptile,Squamate,Lizard,,,,Edge,"open ground leaves, by north parking lot",,22,32,0.2,Juvenile,,,,,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
74,9/13/21,21256,13,September,2021,Autumn,10:30,AM,Anolis,carolinensis,Reptile,Squamate,Lizard,,,,Edge,Open on trail near homestead,Female,25,48,0.4,,,,,,"Dan Warner, Chris Norris, Kerry Cobb, Morgan Muell, Haile Cobb, Chris Powell",Vert Bio
