name,Sampling day?,Julian_Day,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Auburn, Alabama",No,21001,1/1/2021,19.4,16.2,18.2,19.4,16.2,18.2,17.7,97.5,14.1,100,50,rain,0,0,46.4,31.4,169.8,1018,93.9,14.3,21.4,1.7,1,,2021-01-01 6:44:10,2021-01-01 16:47:25,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21002,1/2/2021,17.2,8.9,13.3,17.2,6.4,13.2,11.3,88.5,0,0,0,,0,0,27.7,16.5,210.1,1019.4,52.1,15.1,57.6,4.9,3,,2021-01-02 6:44:21,2021-01-02 16:48:10,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F1649,TKGA1,KAUO,72225013829,KLSF,72225593842,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21003,1/3/2021,11.7,2.9,7.3,11.7,0.8,5.6,2.5,72.8,0,0,0,,0,0,40.7,22.2,290.9,1021.7,42.3,16,83.1,7.1,4,,2021-01-03 6:44:30,2021-01-03 16:48:56,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21004,1/4/2021,15,2.2,8,15,-0.9,6.9,1.5,66.2,0,0,0,,0,0,,12.9,245.2,1021.4,7.8,16,93.4,8.1,4,,2021-01-04 6:44:38,2021-01-04 16:49:43,0.65,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21005,1/5/2021,15.7,5,9.1,15.7,2.1,8,3.1,68.6,0,0,0,,0,0,35.3,22.3,294.4,1020.9,8.1,16,89.9,7.8,5,,2021-01-05 6:44:44,2021-01-05 16:50:31,0.7,Clear,Clear conditions throughout the day.,clear-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,MRSA1,72228403892,KCSG,TKSA1"
"Auburn, Alabama",No,21006,1/6/2021,12.9,0.1,6.6,12.9,-1.9,5,-0.7,62.3,0,0,0,,0,0,,22,57,1024.3,0.1,16,98.2,8.4,4,,2021-01-06 6:44:48,2021-01-06 16:51:20,0.76,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,72036363872,AU556,72228403892,KCSG,TKSA1"
"Auburn, Alabama",No,21007,1/7/2021,7.9,5,6.1,5.7,1.5,3.4,3,81.3,6.85,100,25,rain,0,0,49.2,24.1,102,1018,56.7,15.1,22.5,1.9,1,,2021-01-07 6:44:51,2021-01-07 16:52:10,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,72228403892,KCSG,TKSA1"
"Auburn, Alabama",No,21008,1/8/2021,5.7,2.2,4.7,5.7,-1.9,1.8,3.3,91.3,0.61,100,8.33,rain,0,0,35.3,22.3,327,1018.2,100,12,19.8,1.6,1,,2021-01-08 6:44:51,2021-01-08 16:53:00,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KALX,TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21009,1/9/2021,2.9,0.7,1.8,0.2,-4,-2.2,-1.3,80.3,0,0,0,,0,0,37.1,22.3,327.9,1024.6,100,16,25.5,2.3,1,,2021-01-09 6:44:50,2021-01-09 16:53:52,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,72228403892,KCSG,TKSA1"
"Auburn, Alabama",No,21010,1/10/2021,6.7,-4.3,2.2,5.3,-6.6,0.8,-2.2,73.6,0,0,0,,0,0,,13,146.4,1028,25.3,16,81.4,7.1,3,,2021-01-10 6:44:47,2021-01-10 16:54:44,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21011,1/11/2021,7.9,3.4,5.6,6.2,0.7,3.7,4.1,89.8,4.62,100,29.17,rain,0,0,,12.9,82.6,1025.6,99,13.6,25.3,2.2,1,,2021-01-11 6:44:42,2021-01-11 16:55:36,0.99,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KAUO,72026563833,72225013829,KLSF,72225593842,72036363872,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21012,1/12/2021,5.7,2.2,4.7,5.7,-0.9,2.2,3.4,91.2,0.3,100,4.17,rain,0,0,,18.3,329,1026.9,91.9,14.6,23.9,2.1,1,,2021-01-12 6:44:36,2021-01-12 16:56:29,1,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21013,1/13/2021,10,-1.6,4,10,-5.3,2.5,-1.3,72.4,0,0,0,,0,0,,12.9,284.2,1023.3,39.2,13.7,91.6,7.9,5,,2021-01-13 6:44:27,2021-01-13 16:57:23,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KALX,TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21014,1/14/2021,13.9,-2.2,6.5,13.9,-3.6,5.3,0.3,67.4,0,0,0,,0,0,27.7,24,179.3,1016.5,2.2,16,102.6,8.8,5,,2021-01-14 6:44:17,2021-01-14 16:58:17,0.01,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21015,1/15/2021,12.9,3.8,8.7,12.9,1.4,7.3,-0.9,57.1,0,0,0,,0,0,39,22.4,254.5,1011.4,20,16,86,7.3,5,,2021-01-15 6:44:05,2021-01-15 16:59:12,0.03,Clear,Clearing in the afternoon.,clear-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21016,1/16/2021,8.4,-0.6,3.6,5.6,-4.3,1.1,-4.8,55.4,0,0,0,,0,0,50,24,247.8,1015.4,5,16,106.8,9.2,5,,2021-01-16 6:43:51,2021-01-16 17:00:07,0.06,Clear,Clear conditions throughout the day.,clear-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21017,1/17/2021,11.2,-2.2,4.6,11.2,-2.2,3.6,-2.2,63.8,0,0,0,,0,0,31.7,23.9,152.3,1017.9,2.5,15.8,91.1,7.6,4,,2021-01-17 6:43:36,2021-01-17 17:01:02,0.1,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,72026563833,KAUO,72225013829,KLSF,72225593842,72036363872,AU556,KCSG,TKSA1,72228403892"
"Auburn, Alabama",No,21018,1/18/2021,12.9,1.1,6.5,12.9,-1.2,5.8,-3.3,52,0,0,0,,0,0,37.2,22.3,184.3,1022.9,1.1,16,112.4,9.6,6,,2021-01-18 6:43:19,2021-01-18 17:01:58,0.14,Clear,Clear conditions throughout the day.,clear-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21019,1/19/2021,16.7,2.8,10.2,16.7,1.4,10.1,-2.1,43.8,0,0,0,,0,0,,14.5,166.8,1029.5,40.1,16,112.3,9.5,5,,2021-01-19 6:43:00,2021-01-19 17:02:54,0.19,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21020,1/20/2021,15.7,9.4,11.8,15.7,7,11.6,1.7,52.6,0,0,0,,0,0,31.7,16.5,289,1027.4,32.7,16,106.8,9.2,5,,2021-01-20 6:42:39,2021-01-20 17:03:50,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21021,1/21/2021,15.1,7.2,11.2,15.1,6.2,10.9,9.4,89.5,6.37,100,50,rain,0,0,,14.7,236.8,1019,74.2,11.6,18.4,1.4,1,,2021-01-21 6:42:17,2021-01-21 17:04:47,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21022,1/22/2021,12.9,7.2,10.6,12.9,6.4,10.5,9.9,95.6,19.97,100,54.17,rain,0,0,,11.1,165.2,1017.9,72.5,12.6,30.2,2.6,2,,2021-01-22 6:41:52,2021-01-22 17:05:43,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KALX,TKGA1,KAUO,72026563833,72225013829,72225593842,AU556,72228403892,TKSA1,KCSG"
"Auburn, Alabama",No,21023,1/23/2021,17.2,2.9,10.2,17.2,-0.8,8.9,1.3,57.4,0,0,0,,0,0,,18.3,36.2,1023.6,16.3,16,121.4,10.5,6,,2021-01-23 6:41:27,2021-01-23 17:06:40,0.37,Clear,Clear conditions throughout the day.,clear-day,"KALX,TKGA1,KAUO,72225013829,72225593842,AU556,MRSA1,TKSA1,72228403892,KCSG"
"Auburn, Alabama",No,21024,1/24/2021,16.7,8.3,12.3,16.7,5.9,11.7,7,70.6,0,0,0,,0,0,,14.6,125.4,1023.6,60.9,16,113.1,9.5,6,,2021-01-24 6:40:59,2021-01-24 17:07:37,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
"Auburn, Alabama",Yes,21025,1/25/2021,23.4,13.4,18.1,23.4,13.4,18.1,14.9,83,0,0,0,,0,0,46.4,31.7,172.6,1015.4,74.5,15.6,70.8,6.1,3,,2021-01-25 6:40:30,2021-01-25 17:08:34,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KALX,TKGA1,KAUO,72026563833,72225013829,KLSF,72225593842,72036363872,KEUF,72228403892,KCSG,TKSA1"
"Auburn, Alabama",No,21026,1/26/2021,20,14.4,17.9,20,14.4,17.9,14.5,81.8,5.57,100,20.83,rain,0,0,33.5,20.5,242.5,1014.7,69,15.7,70.2,6.1,4,,2021-01-26 6:39:59,2021-01-26 17:09:31,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KALX,TKGA1,KAUO,72225013829,KLSF,72225593842,AU556,TKSA1,72228403892,KCSG"
